Title GSheet	Start Date	End Date	Author(s)	Display Genre	Type	Format	Pages	Hours	My Rating	Re-Read?	Book Club?	Technical?	Goodreads	Year Read	Start Month	End Month	Num Days Reading	Pages Per Day	Hours Per Day	Goodreads Rating	Full Title	Title	Subtitle	Year Published	Period Published	Num Reviews	Num Ratings	Num Five Stars	Num Four Stars	Num Three Stars	Num Two Stars	Num One Stars	Gender(s)	Num Authors	Author Gender	Rating Delta	Rating Delta Absolute	Read On Release?	1-Star Rating Percentage	5-Star Rating Percentage	Goodreads Rating Binned
The Accursed Tower	2019-10-25	2019-10-30	Roger Crowley	History	Non-Fiction	Kindle	272.0		4.0	False	False	False	https://www.goodreads.com/book/show/50789231-accursed-tower	2019	10-2019	10-2019	6	45.333333333333336		3.97	Accursed Tower: The Fall of Acre and the End of the Crusades	Accursed Tower	The Fall of Acre and the End of the Crusades	2019	Contemporary (21st)	59	555	146	261	135	11	2	Male	1	Male	0.029999999999999805	0.029999999999999805	True	0.36036036036036034	26.306306306306304	(3.75, 4.0]
The Storm Before the Storm	2019-10-26	2019-11-06	Mike Duncan	History	Non-Fiction	Audible		10.0	4.0	False	False	False	https://www.goodreads.com/book/show/34184069-the-storm-before-the-storm	2019	10-2019	11-2019	12		0.8333333333333334	4.25	The Storm Before the Storm: The Beginning of the End of the Roman Republic	The Storm Before the Storm	The Beginning of the End of the Roman Republic	2017	Contemporary (21st)	1296	12314	5302	5109	1612	252	39	Male	1	Male	-0.25	0.25	False	0.3167126847490661	43.05668344973201	(4.0, 4.25]
Down and Out in Paris and London	2019-10-31	2019-10-31	George Orwell	Classics	Fiction	Physical	216.0		4.0	False	False	False	https://www.goodreads.com/book/show/18755313-down-and-out-in-paris-and-london	2019	10-2019	10-2019	1	216.0		4.09	Down and Out in Paris and London	Down and Out in Paris and London	Down and Out in Paris and London	1933	Late Modern	6103	86678	31008	37044	14934	2794	898	Male	1	Male	-0.08999999999999986	0.08999999999999986	False	1.036018366828953	35.77378342832091	(4.0, 4.25]
Hyperion	2019-10-31	2019-11-08	Dan Simmons	Science Fiction	Fiction	Kindle	482.0		3.5	False	False	False	https://www.goodreads.com/book/show/77566.Hyperion	2019	10-2019	11-2019	9	53.55555555555556		4.26	Hyperion	Hyperion	Hyperion	1989	Contemporary (20th)	12301	247543	126304	76678	31398	9185	3978	Male	1	Male	-0.7599999999999998	0.7599999999999998	False	1.6069935324367888	51.02305458041633	(4.25, 4.5]
The Looming Tower	2019-11-08	2019-11-17	Lawrence Wright	True Crime	Non-Fiction	Audible		16.5	4.5	False	False	False	https://www.goodreads.com/book/show/110890.The_Looming_Tower	2019	11-2019	11-2019	10		1.65	4.35	The Looming Tower: Al-Qaeda and the Road to 9/11	The Looming Tower	Al-Qaeda and the Road to 9/11	2006	Contemporary (21st)	2827	32367	16660	11644	3120	609	334	Male	1	Male	0.15000000000000036	0.15000000000000036	False	1.031915222294312	51.47217845336299	(4.25, 4.5]
Alexander of Macedon	2019-11-08	2019-11-19	Peter Green	Biography	Non-Fiction	Physical	488.0		4.5	False	False	False	https://www.goodreads.com/book/show/16145176-alexander-of-macedon-356-323-b-c	2019	11-2019	11-2019	12	40.666666666666664		4.2	Alexander of Macedon, 356-323 B.C: A Historical Biography	Alexander of Macedon, 356-323 B.C	A Historical Biography	1991	Contemporary (20th)	124	1921	901	653	270	37	60	Male	1	Male	0.2999999999999998	0.2999999999999998	False	3.1233732431025505	46.902654867256636	(4.0, 4.25]
The Phoenix Project	2019-11-19	2019-11-29	Gene Kim	Technology	Fiction	Audible		13.0	4.0	False	False	False	https://www.goodreads.com/book/show/17255186-the-phoenix-project	2019	11-2019	11-2019	11		1.1818181818181819	4.26	The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win	The Phoenix Project	A Novel About IT, DevOps, and Helping Your Business Win	2013	Contemporary (21st)	3678	44332	21077	15935	5665	1246	409	Male	1	Male	-0.2599999999999998	0.2599999999999998	False	0.9225841378688081	47.5435351439141	(4.25, 4.5]
Pinpoint	2019-11-19	2019-11-24	Greg Milner	Technology	Non-Fiction	Physical	266.0		3.5	False	False	False	https://www.goodreads.com/book/show/30631304-pinpoint	2019	11-2019	11-2019	6	44.333333333333336		3.75	Pinpoint: How GPS is Changing Our World	Pinpoint	How GPS is Changing Our World	2016	Contemporary (21st)	102	603	129	245	182	43	4	Male	1	Male	-0.25	0.25	False	0.6633499170812603	21.393034825870647	(3.5, 3.75]
The Curious Incident of the Dog..	2019-11-24	2019-11-28	Mark Haddon	Novel	Fiction	Physical	270.0		3.5	False	False	False	https://www.goodreads.com/book/show/3437.The_Curious_Incident_of_the_Dog_in_the_Night_Time	2019	11-2019	11-2019	5	54.0		3.89	The Curious Incident of the Dog in the Night-Time	The Curious Incident of the Dog in the Night-Time	The Curious Incident of the Dog in the Night-Time	2003	Contemporary (21st)	54803	1464439	446800	561988	335152	87771	32728	Male	1	Male	-0.3900000000000001	0.3900000000000001	False	2.234848976297408	30.509976858032324	(3.75, 4.0]
The Silent Patient	2019-12-02	2019-12-06	Alex Michaelides	Novel	Fiction	Physical	337.0		3.5	False	False	False	https://www.goodreads.com/book/show/41601079-the-silent-patient	2019	12-2019	12-2019	5	67.4		4.18	The Silent Patient	The Silent Patient	The Silent Patient	2019	Contemporary (21st)	176357	2010973	870795	742543	308007	69042	20586	Male	1	Male	-0.6799999999999997	0.6799999999999997	True	1.023683560147252	43.302172629866234	(4.0, 4.25]
The Priory of the Orange Tree	2019-12-08	2019-12-22	Samantha Shannon	Fantasy	Fiction	Kindle	804.0		2.5	False	False	False	https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree	2019	12-2019	12-2019	15	53.6		4.21	The Priory of the Orange Tree	The Priory of the Orange Tree	The Priory of the Orange Tree	2019	Contemporary (21st)	30664	190229	88437	65355	26713	7232	2492	Female	1	Female	-1.71	1.71	True	1.3100000525682205	46.4897570822535	(4.0, 4.25]
Bad Blood	2019-12-11	2019-12-17	John Carreyrou	True Crime	Non-Fiction	Audible		11.5	4.5	False	False	False	https://www.goodreads.com/book/show/41304176-bad-blood	2019	12-2019	12-2019	7		1.6428571428571428	4.41	Bad Blood: Secrets and Lies in a Silicon Valley Startup	Bad Blood	Secrets and Lies in a Silicon Valley Startup	2018	Contemporary (21st)	22108	256854	141971	87362	20899	4130	2492	Male	1	Male	0.08999999999999986	0.08999999999999986	True	0.9702009702009702	55.27303448651764	(4.25, 4.5]
War Beneath the Sea	2019-12-23	2019-12-29	Peter Padfield	History	Non-Fiction	Kindle	540.0		4.0	False	False	False	https://www.goodreads.com/book/show/19165777-war-beneath-the-sea	2019	12-2019	12-2019	7	77.14285714285714		4.21	War Beneath The Sea	War Beneath The Sea	War Beneath The Sea	1995	Contemporary (20th)	54	784	350	279	127	23	5	Male	1	Male	-0.20999999999999996	0.20999999999999996	False	0.6377551020408163	44.642857142857146	(4.0, 4.25]
Animal Farm	2019-12-30	2019-12-31	George Orwell	Classics	Fiction	Physical	112.0		3.5	False	False	False	https://www.goodreads.com/book/show/3149348-animal-farm	2019	12-2019	12-2019	2	56.0		3.98	Animal Farm	Animal Farm	Animal Farm	1945	Contemporary (20th)	93108	3813894	1427267	1335122	726940	214600	109965	Male	1	Male	-0.48	0.48	False	2.8832736305728477	37.42282821704011	(3.75, 4.0]
All Hell Let Loose	2020-01-01	2020-02-05	Max Hastings	History	Non-Fiction	Audible		32.0	3.0	False	False	False	https://www.goodreads.com/book/show/11918457-all-hell-let-loose	2020	01-2020	02-2020	36		0.8888888888888888	4.34	All Hell Let Loose: The World at War, 1939-1945	All Hell Let Loose	The World at War, 1939-1945	2011	Contemporary (21st)	795	9814	5081	3421	970	220	122	Male	1	Male	-1.3399999999999999	1.3399999999999999	False	1.2431220705115142	51.77297737925413	(4.25, 4.5]
